-BEGIN HEADER-,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,,
Dates (month/day/year): 01/01/2019 through 12/31/2021 ,,,,,,,,,,,,
Location: Latitude  10.7269   Longitude 106.6897 ,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 13.02 meters,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,,,,
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) ,,,,,,,,,,,,
TS              MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,,
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,,
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,24.36,20.95,22.65,24.73,6.37,28.12,21.75,15.44,81.62,2.88
2019,1,2,24.26,21.81,23.04,24.4,6.06,27.6,21.53,16.3,86.38,12.06
2019,1,3,25.35,22.93,24.14,25.23,4.91,27.72,22.8,17.46,86.56,2.3
2019,1,4,26.12,23.94,25.03,25.95,3.68,28.42,24.73,18.49,88,10.26
2019,1,5,26.22,23.5,24.86,26.29,4.6,29.03,24.43,18.01,85.56,0.03
2019,1,6,26.18,23.09,24.64,26.36,6.47,29.71,23.25,17.58,83.75,0.08
2019,1,7,25.87,21.95,23.91,26.07,7.4,29.88,22.48,16.42,80.19,0
2019,1,8,25.58,22.28,23.93,25.9,7.55,29.55,22.01,16.72,82.81,0.07
2019,1,9,25.97,22.52,24.24,26.18,7.85,30.14,22.29,16.97,82.38,0.01
2019,1,10,26.28,22.15,24.22,26.38,6.55,30.04,23.48,16.6,79,0.01
2019,1,11,26.14,21.9,24.02,26.33,8.59,30.66,22.08,16.36,78.94,0.08
2019,1,12,26.74,22.83,24.79,27.04,7.92,31.29,23.37,17.33,80.5,0.12
2019,1,13,26.9,22.23,24.56,27.34,7.88,31.6,23.71,16.66,77,0
2019,1,14,25.74,20.23,22.98,26.27,9.92,31,21.08,14.83,74.31,0
2019,1,15,26.44,22.04,24.24,27,8.82,31.12,22.29,16.54,78.31,1.53
2019,1,16,26.7,22.95,24.83,26.97,6.2,30.62,24.41,17.46,81.06,1.12
2019,1,17,26.6,22.37,24.48,26.94,6.78,30.55,23.77,16.85,78.81,0.06
2019,1,18,26.01,21.27,23.64,26.4,8.52,30.86,22.33,15.75,76.81,0.04
2019,1,19,26.06,20.92,23.49,26.62,10.52,31.64,21.11,15.44,75.44,0.05
2019,1,20,26.76,21.87,24.32,27.45,8.79,31.72,22.93,16.36,76.31,0.01
2019,1,21,27.14,21.78,24.46,27.96,8.55,32.37,23.83,16.3,74.94,0.01
2019,1,22,26.71,21.55,24.12,27.51,8.38,31.28,22.9,15.99,75,0.03
2019,1,23,25.63,19.34,22.48,26.61,10.2,31.35,21.15,13.98,70.44,0
2019,1,24,24.87,17.97,21.42,25.72,9.35,30.23,20.88,12.88,68.44,0
2019,1,25,25.16,18.59,21.88,26.12,10.52,30.95,20.44,13.31,70.38,0
2019,1,26,25.27,19.65,22.46,25.87,10.09,30.35,20.26,14.28,73.81,0.01
2019,1,27,25.98,19.71,22.85,26.8,9.52,31.33,21.81,14.28,70.44,0
2019,1,28,25.94,19.63,22.79,26.95,9.7,31.3,21.59,14.22,70.38,0
2019,1,29,26.4,21.23,23.82,27.33,9.36,31.64,22.28,15.69,75.31,0.01
2019,1,30,26.65,20.64,23.65,27.43,7.7,31.4,23.71,15.14,71.25,0
2019,1,31,26.37,20.16,23.26,27.35,10.23,32.13,21.9,14.71,71.25,0
2019,2,1,26.56,20.3,23.43,27.49,9.05,32.04,22.99,14.83,70.69,0
2019,2,2,26.68,20.51,23.59,27.75,9.36,32.07,22.71,15.01,70.81,0
2019,2,3,27.1,21.92,24.51,28.11,8.7,32.57,23.87,16.36,75.44,0
2019,2,4,27.02,21.86,24.44,28.05,8.31,32.15,23.83,16.3,75.5,0
