-BEGIN HEADER-,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,,
Dates (month/day/year): 01/01/2021 through 12/31/2021 ,,,,,,,,,,,,
Location: Latitude  10.7606   Longitude 106.6744 ,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.81 meters,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) ,,,,,,,,,,,,
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) ,,,,,,,,,,,,
TS              MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,,
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,,
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2021,1,1,22.52,19.26,20.89,22.55,7.81,26.8,18.99,13.98,82.38,0.42
2021,1,2,22.44,19.39,20.91,22.57,8.24,26.48,18.24,14.1,83.44,0.01
2021,1,3,25.03,21.26,23.15,25.27,10.58,30.37,19.8,15.87,80.56,0.01
2021,1,4,25.54,22.34,23.94,25.53,9.55,30.33,20.79,16.91,83.25,1.93
2021,1,5,25.59,23.02,24.3,25.47,7.91,30.25,22.33,17.58,86.44,4.31
2021,1,6,25.93,22.76,24.34,25.91,8.67,30.22,21.55,17.33,83.5,0.04
2021,1,7,26.37,22.39,24.37,26.17,8.76,30.8,22.05,16.97,79.81,0.16
2021,1,8,25.11,21.33,23.22,25.15,10.41,30.52,20.12,15.93,80.69,0.1
2021,1,9,24.12,19.98,22.05,24.2,10.23,29.31,19.08,14.65,78.75,0
2021,1,10,23.82,19.51,21.66,24,10.95,29.14,18.19,14.22,78.06,0
2021,1,11,23.79,19.73,21.76,23.85,10.69,29.36,18.67,14.4,79.06,0
2021,1,12,21.46,16.9,19.19,21.61,10.14,26.83,16.69,12.02,76.19,0
2021,1,13,20.82,16.2,18.51,21.05,11.43,26.11,14.68,11.54,75.62,0
2021,1,14,23.4,19.29,21.34,23.48,10.95,28.78,17.82,13.98,79,0
2021,1,15,23.87,19.99,21.94,24.07,8.81,29,20.19,14.59,80.38,0
2021,1,16,23.72,19.74,21.73,23.38,9.7,28.61,18.91,14.34,79.94,0
2021,1,17,23.46,19.25,21.35,23.41,9,28.71,19.7,13.92,78.75,0
2021,1,18,22.4,17.8,20.1,22.59,10.66,28.05,17.39,12.7,76.56,0
2021,1,19,22.17,17.35,19.76,22.12,9.52,26.69,17.17,12.39,75.06,0
2021,1,20,24.5,20.24,22.37,24.78,11.09,30.17,19.08,14.89,78.62,0
2021,1,21,24.92,21.8,23.37,25.26,7.77,29.05,21.28,16.36,83.81,0
2021,1,22,25.12,22.6,23.87,25.56,7.46,29.37,21.91,17.15,86.81,0.12
2021,1,23,25.19,22.44,23.81,25.51,6.53,29.14,22.61,16.97,85.56,0.01
2021,1,24,25.62,22.4,24.01,26.14,8.3,30.33,22.02,16.97,83.56,0
2021,1,25,25.64,22.17,23.9,26.04,8.7,30.53,21.83,16.72,82.44,0
2021,1,26,25.9,20.19,23.05,25.73,9.86,31.55,21.69,14.77,73.44,0
2021,1,27,26.07,21.43,23.75,26.29,11.03,31.98,20.94,15.99,77.25,0
2021,1,28,26.61,22.03,24.32,26.88,10.04,32.19,22.15,16.54,77.88,0
2021,1,29,24.79,19.02,21.9,24.93,10.08,30.27,20.2,13.73,71.62,0
2021,1,30,24.19,18.53,21.36,24.65,11.06,30.08,19.01,13.31,72.56,0
2021,1,31,25.07,20.74,22.9,25.35,9.34,29.88,20.54,15.32,78.19,0
2021,2,1,26.3,21.57,23.94,26.79,9.37,31.59,22.23,16.05,77,0
2021,2,2,25.27,19.15,22.21,25.55,11.09,31.48,20.4,13.85,72.19,0
2021,2,3,25.15,19.26,22.2,25.59,12.38,31.55,19.17,13.98,72.56,0
2021,2,4,25.8,19.12,22.46,26.05,12.95,32.12,19.18,13.79,69.44,0
2021,2,5,25.85,19.8,22.82,26.47,12.76,32.3,19.54,14.4,71.88,0
